2026-01-02 08:00:44 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2026-01-02 08:00:44 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2026-01-02 08:00:44 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2026-01-02 08:00:44 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2026-01-02 08:00:44 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2026-01-02 08:39:47 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2026-01-02 08:39:47 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2026-01-02 08:39:47 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2026-01-02 08:39:47 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2026-01-02 08:39:47 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2026-01-02 08:44:21 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2026-01-02 08:44:21 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2026-01-02 08:44:21 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
2026-01-02 08:44:21 | INFO     | AI_Doc_Analyzer:setup_logging:150 | Log file: c:\Users\bogda\DebogAutomations\Clients\RobertKaplan\AI_Doc_Analyzer\logs\app.log
2026-01-02 08:44:21 | INFO     | AI_Doc_Analyzer:setup_logging:151 | ============================================================
2026-01-02 08:46:28 | INFO     | AI_Doc_Analyzer:setup_logging:147 | ============================================================
2026-01-02 08:46:28 | INFO     | AI_Doc_Analyzer:setup_logging:148 | AI Document Analyzer - Logging initialized
2026-01-02 08:46:28 | INFO     | AI_Doc_Analyzer:setup_logging:149 | Log level: DEBUG
